1042-9670; ACADEMIC PSYCHIATRY; A1
0001-4273; ACADEMY OF MANAGEMENT JOURNAL; A1
1537-260X; ACADEMY OF MANAGEMENT LEARNING & EDUCATION; A1
0001-4575; ACCIDENT ANALYSIS AND PREVENTION; A1
0951-3574; ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL; A1
0095-3997; ADMINISTRATION & SOCIETY; A1
1945-7731; AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY; A1
0002-9092; AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS; A1
1467-8276; AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS (ONLINE); A1
0092-5853; AMERICAN JOURNAL OF POLITICAL SCIENCE; A1
0254-5330; ANNALS OF OPERATION RESEARCH; A1
0160-7383; ANNALS OF TOURISM RESEARCH; A1
1466-4283; APPLIED ECONOMICS (ONLINE); A1
0003-6846; APPLIED ECONOMICS (PRINT); A1
1350-4851; APPLIED ECONOMICS LETTERS (PRINT); A1
0960-3107; APPLIED FINANCIAL ECONOMICS (PRINT); A1
1068-2341; ARCHIVOS ANALÍTICOS DE POLÍTICAS EDUCATIVAS / EDUCATION POLICY ANALYSIS ARCHIVES; A1
0260-2938; ASSESSMENT AND EVALUATION IN HIGHER EDUCATION; A1
1572-9338; Annals of Operations Research; A1
1463-5771; BENCHMARKING (BRADFORD); A1
0961-9534; BIOMASS & BIOENERGY; A1
1472-6920; BMC Medical Education; A1
0007-1234; BRITISH JOURNAL OF POLITICAL SCIENCE (PRINT); A1
0007-6503; BUSINESS & SOCIETY; A1
0007-6813; BUSINESS HORIZONS; A1
1463-7154; BUSINESS PROCESS MANAGEMENT JOURNAL; A1
0825-0383; CANADIAN JOURNAL OF THE ADMINISTRATIVE SCIENCES; A1
1362-0436; CAREER DEVELOPMENT INTERNATIONAL; A1
1385-8947; CHEMICAL ENGINEERING JOURNAL (1996); A1
1618-9558; CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY (INTERNET); A1
1618-954X; CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY (PRINT); A1
0010-4140; COMPARATIVE POLITICAL STUDIES; A1
0927-7099; COMPUTATIONAL ECONOMICS; A1
0360-8352; COMPUTERS & INDUSTRIAL ENGINEERING; A1
0305-0548; COMPUTERS & OPERATIONS RESEARCH; A1
0167-4048; COMPUTERS & SECURITY; A1
1988-3293; COMUNICAR (HUELVA. INTERNET); A1
1063-293X; CONCURRENT ENGINEERING: RESEARCH AND APPLICATIONS; A1
1472-0701; CORPORATE GOVERNANCE (BRADFORD); A1
1069-3971; CROSS-CULTURAL RESEARCH; A1
1351-0347; DEMOCRATIZATION (LONDON); A1
0957-9265; DISCOURSE & SOCIETY; A1
1470-160X; ECOLOGICAL INDICATORS; A1
0747-4938; ECONOMETRIC REVIEWS; A1
0264-9993; ECONOMIC MODELLING; A1
0165-1765; ECONOMICS LETTERS; A1
1042-1629; EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT; A1
1566-0141; EMERGING MARKETS REVIEW; A1
0377-7332; EMPIRICAL ECONOMICS; A1
0140-9883; ENERGY ECONOMICS; A1
0301-4215; ENERGY POLICY; A1
1042-2587; ENTREPRENEURSHIP THEORY AND PRACTICE; A1
0167-6369; ENVIRONMENTAL MONITORING AND ASSESSMENT (PRINT); A1
1944-7442; ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY (PRINT); A1
1462-9011; ENVIRONMENTAL SCIENCE & POLICY; A1
0959-3330; ENVIRONMENTAL TECHNOLOGY; A1
0963-8180; EUR ACCOUNT REV; A1
1460-1060; EUROPEAN JOURNAL OF INNOVATION MANAGEMENT; A1
0309-0566; EUROPEAN JOURNAL OF MARKETING; A1
0377-2217; EUROPEAN JOURNAL OF OPERATIONAL RESEARCH; A1
1368-4310; EUROPEAN JOURNAL OF SOCIAL THEORY; A1
0957-4174; EXPERT SYSTEMS WITH APPLICATIONS; A1
1082-0132; FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL; A1
0015-7228; FOREIGN POLICY; A1
0016-3287; FUTURES (LONDON); A1
0968-6673; GENDER, WORK AND ORGANIZATION (PRINT); A1
1470-2266; GLOBAL NETWORKS (OXFORD. PRINT); A1
0952-1895; GOVERNANCE (OXFORD. PRINT); A1
0740-624X; GOVERNMENT INFORMATION QUARTERLY; A1
0926-2644; GROUP DECISION AND NEGOTIATION; A1
0017-8012; HARVARD BUSINESS REVIEW; A1
0361-6274; HEALTH CARE MANAGEMENT REVIEW; A1
0268-1080; HEALTH POLICY AND PLANNING (PRINT); A1
0018-1560; HIGHER EDUCATION (AMSTERDAM); A1
0018-7267; HUMAN RELATIONS (NEW YORK); A1
1461-5517; IMPACT ASSESSMENT AND PROJECT APPRAISAL (PRINT); A1
0960-6491; INDUSTRIAL AND CORPORATE CHANGE; A1
0263-5577; INDUSTRIAL MANAGEMENT + DATA SYSTEMS; A1
0019-8501; INDUSTRIAL MARKETING MANAGEMENT; A1
0315-5986; INFOR. INFORMATION SYSTEMS AND OPERATIONAL RESEARCH; A1
0378-7206; INFORMATION & MANAGEMENT (AMSTERDAM); A1
0950-5849; INFORMATION AND SOFTWARE TECHNOLOGY; A1
0020-0255; INFORMATION SCIENCES; A1
1387-3326; INFORMATION SYSTEMS FRONTIERS (PRINT); A1
1350-1917; INFORMATION SYSTEMS JOURNAL (PRINT); A1
0964-8305; INTERNATIONAL BIODETERIORATION & BIODEGRADATION; A1
0969-5931; INTERNATIONAL BUSINESS REVIEW; A1
1554-7191; INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL; A1
1467-0895; INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS; A1
0265-2323; INTERNATIONAL JOURNAL OF BANK MARKETING; A1
0951-192X; INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING (PRINT); A1
0958-5192; INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT; A1
0268-4012; INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT; A1
0143-7720; INTERNATIONAL JOURNAL OF MANPOWER; A1
0144-3577; INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT; A1
0960-0035; INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT; A1
2288-6206; INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING-GREEN TECHNOLOGY; A1
0925-5273; INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS; A1
1366-588X; INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH; A1
0020-7543; INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH (PRINT); A1
0263-7863; INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT; A1
0265-671X; INTERNATIONAL JOURNAL OF QUALITY AND RELIABILITY MANAGEMENT; A1
0167-8116; INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING; A1
0959-0552; INTERNATIONAL JOURNAL OF RETAIL & DISTRIBUTION MANAGEMENT; A1
0950-0693; INTERNATIONAL JOURNAL OF SCIENCE EDUCATION; A1
1756-6517; INTERNATIONAL JOURNAL OF SHIPPING AND TRANSPORT LOGISTICS; A1
1467-6370; INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION; A1
1350-4509; INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY; A1
0268-3768; INTERNATIONAL JOURNAL, ADVANCED MANUFACTURING TECHNOLOGY; A1
0265-1335; INTERNATIONAL MARKETING REVIEW; A1
0192-5121; INTERNATIONAL POLITICAL SCIENCE REVIEW; A1
1059-0560; INTERNATIONAL REVIEW OF ECONOMICS & FINANCE; A1
1057-5219; INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS; A1
1460-7425; JASSS (GUILDFORD); A1
0091-3367; JOURNAL OF ADVERTISING; A1
1187-7863; JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL ETHICS; A1
0021-857X; JOURNAL OF AGRICULTURAL ECONOMICS; A1
0969-6997; JOURNAL OF AIR TRANSPORT MANAGEMENT; A1
0378-4266; JOURNAL OF BANKING & FINANCE (PRINT); A1
0167-4544; JOURNAL OF BUSINESS ETHICS; A1
0148-2963; JOURNAL OF BUSINESS RESEARCH; A1
0959-6526; JOURNAL OF CLEANER PRODUCTION; A1
0147-5967; JOURNAL OF COMPARATIVE ECONOMICS (PRINT); A1
0733-9364; JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT; A1
1057-7408; JOURNAL OF CONSUMER PSYCHOLOGY; A1
0093-5301; JOURNAL OF CONSUMER RESEARCH; A1
0022-0221; JOURNAL OF CROSS-CULTURAL PSYCHOLOGY; A1
0885-2545; JOURNAL OF CULTURAL ECONOMICS; A1
0304-4076; JOURNAL OF ECONOMETRICS; A1
0167-2681; JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION; A1
0165-1889; JOURNAL OF ECONOMIC DYNAMICS & CONTROL; A1
0021-3624; JOURNAL OF ECONOMIC ISSUES; A1
0144-3585; JOURNAL OF ECONOMIC STUDIES (BRADFORD); A1
1058-6407; JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY; A1
0148-6195; JOURNAL OF ECONOMICS AND BUSINESS; A1
0923-4748; JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT; A1
1741-0398; JOURNAL OF ENTERPRISE INFORMATION MANAGEMENT; A1
0936-9937; JOURNAL OF EVOLUTIONARY ECONOMICS; A1
0920-8550; JOURNAL OF FINANCIAL SERVICES RESEARCH; A1
1572-3089; JOURNAL OF FINANCIAL STABILITY; A1
0277-6693; JOURNAL OF FORECASTING (PRINT); A1
1573-3602; JOURNAL OF GAMBLING STUDIES; A1
1062-7375; JOURNAL OF GLOBAL INFORMATION MANAGEMENT; A1
1573-2916; JOURNAL OF GLOBAL OPTIMIZATION (DORDRECHT. ONLINE); A1
1047-8310; JOURNAL OF HIGH TECHNOLOGY MANAGEMENT RESEARCH; A1
1094-9968; JOURNAL OF INTERACTIVE MARKETING; A1
0047-2506; JOURNAL OF INTERNATIONAL BUSINESS STUDIES; A1
1042-4431; JOURNAL OF INTERNATIONAL FINANCIAL MARKETS, INSTITUTIONS & MONEY; A1
1075-4253; JOURNAL OF INTERNATIONAL MANAGEMENT; A1
1367-3270; JOURNAL OF KNOWLEDGE MANAGEMENT; A1
0022-216X; JOURNAL OF LATIN AMERICAN STUDIES (PRINT); A1
0164-0704; JOURNAL OF MACROECONOMICS; A1
1467-6486; JOURNAL OF MANAGEMENT STUDIES; A1
0022-2380; JOURNAL OF MANAGEMENT STUDIES (OXFORD. PRINT); A1
0268-3946; JOURNAL OF MANAGERIAL PSYCHOLOGY; A1
1741-038X; JOURNAL OF MANUFACTURING TECHNOLOGY MANAGEMENT; A1
0022-2429; JOURNAL OF MARKETING; A1
1573-2878; JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS (DORDRECHT. ONLINE); A1
0953-4814; JOURNAL OF ORGANISATIONAL CHANGE MANAGEMENT; A1
0161-8938; JOURNAL OF POLICY MODELING; A1
0160-3477; JOURNAL OF POST KEYNESIAN ECONOMICS; A1
1061-0421; JOURNAL OF PRODUCT AND BRAND MANAGEMENT; A1
1053-1858; JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY; A1
0022-4359; JOURNAL OF RETAILING; A1
0969-6989; JOURNAL OF RETAILING AND CONSUMER SERVICES; A1
0047-2778; JOURNAL OF SMALL BUSINESS MANAGEMENT (PRINT); A1
0963-8687; JOURNAL OF STRATEGIC INFORMATION SYSTEMS; A1
0092-0703; JOURNAL OF THE ACADEMY OF MARKETING SCIENCE; A1
1532-2882; JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY (PRINT); A1
2330-1643; JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY; A1
0966-6923; JOURNAL OF TRANSPORT GEOGRAPHY; A1
1090-9516; JOURNAL OF WORLD BUSINESS (PRINT); A1
0950-7051; KNOWLEDGE-BASED SYSTEMS; A1
1531-426X; LATIN AMERICAN POLITICS AND SOCIETY; A1
0023-8791; LATIN AMERICAN RESEARCH REVIEW; A1
1542-4278; LATIN AMERICAN RESEARCH REVIEW; A1
0261-4367; LEISURE STUDIES (PRINT); A1
0898-5898; LINGUISTICS AND EDUCATION; A1
0024-6301; LONG RANGE PLANNING; A1
0025-1747; MANAGEMENT DECISION; A1
0263-4503; MARKETING INTELLIGENCE & PLANNING; A1
0263-2241; MEASUREMENT (LONDON. PRINT); A1
0938-8249; MIR. MANAGEMENT INTERNATIONAL REVIEW (1990); A1
0165-0203; NATURAL RESOURCES FORUM (PRINT); A1
0268-1072; NEW TECHNOLOGY, WORK AND EMPLOYMENT (PRINT); A1
0305-0483; OMEGA (OXFORD); A1
1468-4527; ONLINE INFORMATION REVIEW (PRINT); A1
1350-5084; ORGANIZATION (LONDON); A1
0170-8406; ORGANIZATION STUDIES; A1
1094-4281; ORGANIZATIONAL RESEARCH METHODS; A1
0033-3352; PAR. PUBLIC ADMINISTRATION REVIEW; A1
0304-422X; POETICS (AMSTERDAM); A1
0305-5736; POLICY AND POLITICS (PRINT); A1
0742-6046; PSYCHOLOGY & MARKETING (PRINT); A1
1939-151X; PSYCHOLOGY OF MEN & MASCULINITY; A1
0033-3298; PUBLIC ADMINISTRATION (PRINT); A1
0271-2075; PUBLIC ADMINISTRATION AND DEVELOPMENT (PRINT); A1
1540-6210; PUBLIC ADMINISTRATION REVIEW; A1
1471-9037; PUBLIC MANAGEMENT REVIEW (PRINT); A1
0954-0962; PUBLIC MONEY & MANAGEMENT (PRINT); A1
0033-5177; QUALITY AND QUANTITY; A1
1469-7688; QUANTITATIVE FINANCE (PRINT); A1
0951-8320; RELIABILITY ENGINEERING & SYSTEMS SAFETY; A1
